Species	Status
Acamptonectes_densus	extinct
Aegirosaurus_leptospondylus	extinct
Arthropterygius_chrisorum	extinct
Athabascasaurus_bitumineus	extinct
Barracudasauroides_panxianensis	extinct
Besanosaurus_leptorhynchus	extinct
Brachypterygius_extremus	extinct
Brachypterygius_pseudoscythica	extinct
Californosaurus_perrini	extinct
Callawayia_neoscapularis	extinct
Cartorhynchus_lenticarpus	extinct
Caypullisaurus_bonapartei	extinct
Chacaicosaurus_cayi	extinct
Chaohusaurus_chaoxianensis	extinct
Chaohusaurus_geishanensis	extinct
Chaohusaurus_zhangjiawanensis	extinct
Contectopalatus_atavus	extinct
Cryopterygius_kielanae	extinct
Cryopterygius_kristiansenae	extinct
Cymbospondylus_buchseri	extinct
Cymbospondylus_nichollsi	extinct
Cymbospondylus_petrinus	extinct
Cymbospondylus_piscosus	extinct
Dearcmhara_shawcrossi	extinct
Eurhinosaurus_longirostris	extinct
Excalibosaurus_costini	extinct
Gengasaurus_nicosiai	extinct
Grendelius_alekseevi	extinct
Grendelius_zhuravlevi	extinct
Grippia_longirostris	extinct
Guizhouichthyosaurus_tangae	extinct
Guizhouichthyosaurus_wolonggangense	extinct
Gulosaurus_helmi	extinct
Hauffiopteryx_typicus	extinct
Himalayasaurus_tibetensis	extinct
Hudsonelpidia_brevirostris	extinct
Hupehsuchus_nanchangensis	extinct
Ichthyosaurus_acutirostris	extinct
Ichthyosaurus_anningae	extinct
Ichthyosaurus_breviceps	extinct
Ichthyosaurus_communis	extinct
Ichthyosaurus_conybeari	extinct
Ichthyosaurus_larkini	extinct
Ichthyosaurus_somersetensis	extinct
Isfjordosaurus_minor	extinct
Janusaurus_lundi	extinct
Keilhauia_nui	extinct
Leninia_stellans	extinct
Leptonectes_moorei	extinct
Leptonectes_solei	extinct
Leptonectes_tenuirostris	extinct
Macgowania_janiceps	extinct
Maiaspondylus_lindoei	extinct
Malawania_anachronus	extinct
Mikadocephalus_gracilirostris	extinct
Mixosaurus_cornalianus	extinct
Mixosaurus_kuhnschneyderi	extinct
Mixosaurus_xindianensis	extinct
Mollesaurus_periallus	extinct
Muiscasaurus_catheti	extinct
Nannopterygius_enthekiodon	extinct
Ophthalmosaurus_icenicus	extinct
Ophthalmosaurus_natans	extinct
Ophthalmosaurus_yasykovi	extinct
Palvennia_hoybergeti	extinct
Paraophthalmosaurus_kabanovi	extinct
Paraophthalmosaurus_saveljeviensis	extinct
Parvinatator_wapitiensis	extinct
Pervushovisaurus_bannovkensis	extinct
Pervushovisaurus_campylodon	extinct
Pessopteryx_nisseri	extinct
Phalarodon_callawayi	extinct
Phalarodon_fraasi	extinct
Phalarodon_major	extinct
Phantomosaurus_neubigi	extinct
Platypterygius_americanus	extinct
Platypterygius_australis	extinct
Platypterygius_hauthali	extinct
Platypterygius_hercynicus	extinct
Platypterygius_platydactylus	extinct
Platypterygius_sachicarum	extinct
Qianichthyosaurus_xingyiensis	extinct
Qianichthyosaurus_zhoui	extinct
Quasianosteosaurus_vikinghoegdai	extinct
Sclerocormus_parviceps	extinct
Shastasaurus_liangae	extinct
Shastasaurus_pacificus	extinct
Shastasaurus_sikkaniensis	extinct
Shonisaurus_popularis	extinct
Simbirskiasaurus_birjukovi	extinct
Sisteronia_seeleyi	extinct
Stenopterygius_aaleniensis	extinct
Stenopterygius_quadriscissus	extinct
Stenopterygius_triscissus	extinct
Stenopterygius_uniter	extinct
Suevoleviathan_disinteger	extinct
Suevoleviathan_integer	extinct
Sveltonectes_insolitus	extinct
Temnodontosaurus_azerguensis	extinct
Temnodontosaurus_crassimanus	extinct
Temnodontosaurus_eurycephalus	extinct
Temnodontosaurus_nuertingensis	extinct
Temnodontosaurus_platyodon	extinct
Temnodontosaurus_trigonodon	extinct
Thaisaurus_chonglakmanii	extinct
Thalattoarchon_saurophagis	extinct
Tholodus_schmidi	extinct
Toretocnemus_californicus	extinct
Toretocnemus_zitteli	extinct
Undorosaurus_gorodischensis	extinct
Undorosaurus_trautscholdi	extinct
Utatsusaurus_hataii	extinct
Wahlisaurus_massarae	extinct
Wimanius_odontopalatus	extinct
Xinminosaurus_catactes	extinct
