"occurrence_no"	"record_type"	"reid_no"	"flags"	"collection_no"	"identified_name"	"identified_rank"	"identified_no"	"difference"	"accepted_name"	"accepted_attr"	"accepted_rank"	"accepted_no"	"early_interval"	"late_interval"	"max_ma"	"min_ma"	"ref_author"	"ref_pubyr"	"reference_no"	"phylum"	"class"	"order"	"family"	"genus"	"plant_organ"	"plant_organ2"	"abund_value"	"abund_unit"	"lng"	"lat"	"occurrence_comments"	"collection_name"	"collection_subset"	"collection_aka"	"cc"	"state"	"county"	"latlng_basis"	"latlng_precision"	"geogscale"	"geogcomments"	"paleomodel"	"paleolng"	"paleolat"	"geoplate"	"cc.1"	"protected"	"formation"	"stratgroup"	"member"	"stratscale"	"zone"	"localsection"	"localbed"	"localorder"	"regionalsection"	"regionalbed"	"regionalorder"	"stratcomments"	"lithdescript"	"lithology1"	"lithadj1"	"lithification1"	"minor_lithology1"	"fossilsfrom1"	"lithology2"	"lithadj2"	"lithification2"	"minor_lithology2"	"fossilsfrom2"	"environment"	"tectonic_setting"	"geology_comments"	"assembl_comps"	"articulated_parts"	"associated_parts"	"common_body_parts"	"rare_body_parts"	"feed_pred_traces"	"artifacts"	"component_comments"	"pres_mode"	"preservation_quality"	"spatial_resolution"	"temporal_resolution"	"lagerstatten"	"concentration"	"orientation"	"abund_in_sediment"	"sorting"	"fragmentation"	"bioerosion"	"encrustation"	"preservation_comments"	"collection_type"	"collection_methods"	"museum"	"collection_coverage"	"collection_size"	"rock_censused"	"collectors"	"collection_dates"	"collection_comments"	"taxonomy_comments"	"taxon_environment"	"environment_basis"	"motility"	"life_habit"	"vision"	"diet"	"reproduction"	"ontogeny"	"ecospace_comments"	"composition"	"architecture"	"thickness"	"reinforcement"
293807	"occ"	NA	NA	28009	"Undorosaurus gorodischensis"	"species"	173204	""	"Undorosaurus gorodischensis"	NA	"species"	173204	"Late Jurassic"	""	163.5	145	"Efimov"	1999	7674	"Chordata"	"Reptilia"	"Ichthyosauria"	"Ophthalmosauridae"	"Undorosaurus"	NA	NA	1	"specimens"	48.366669	54.616669	"UPM EP-II-23 (744)"	"Volga region near Ul'yanovsk C. subdites zone"	NA	""	"RU"	"Ul'yanovsk"	""	"based on nearby landmark"	"minutes"	"local area"	"Volga region, near Undory"	"gp_mid"	49.63	45.12	"302"	"RU"	""	""	""	""	""	"Craspedites subdites"	""	""	""	NA	NA	NA	""	""	"not reported"	""	""	""	""	""	""	""	""	""	"marine indet."	""	""	"macrofossils"	""	""	""	""	NA	NA	""	"body"	""	""	""	""	""	""	""	NA	""	""	""	"disarticulated skeleton"	"taxonomic"	"field collection"	""	""	""	NA	""	""	""	""	"marine"	NA	"actively mobile"	""	NA	"carnivore"	"viviparous"	NA	NA	"hydroxyapatite"	NA	NA	NA
293808	"occ"	NA	NA	28010	"n. gen. Undorosaurus n. sp. gorodischensis"	"species"	173204	""	"Undorosaurus gorodischensis"	NA	"species"	173204	"Tithonian"	""	152.1	145	"Efimov"	1999	7674	"Chordata"	"Reptilia"	"Ichthyosauria"	"Ophthalmosauridae"	"Undorosaurus"	NA	NA	3	"specimens"	48.739445	54.324444	"UPM EP-II-20 (527), UPM EP-II-21 (1073), UPM EP-II-22 (1075)"	"Volga region at Gorodische near Ul'yanovsk E. nikitini zone"	NA	""	"RU"	"Ul'yanovsk"	""	"based on nearby landmark"	"seconds"	"local area"	"Volga region, near Undory"	"gp_mid"	49.21	44.61	"302"	"RU"	""	""	""	""	""	"Epivirgatites nikitini"	""	""	""	NA	NA	NA	"'Middle Voligan' (=Tithonian)"	""	"not reported"	""	""	""	""	""	""	""	""	""	"marine indet."	""	""	"macrofossils"	""	""	""	""	NA	NA	""	"body"	""	""	""	""	""	""	""	NA	""	""	""	"fragmentary skeletons: skull bones, humeral and pelvic girdles, vertebral centra and fore and hind limbs"	"taxonomic"	"field collection"	""	""	""	NA	""	""	""	""	"marine"	NA	"actively mobile"	""	NA	"carnivore"	"viviparous"	NA	NA	"hydroxyapatite"	NA	NA	NA
293809	"occ"	NA	NA	28011	"Undorosaurus n. sp. nessovi"	"species"	432079	""	"Undorosaurus nessovi"	NA	"species"	386525	"Late Jurassic"	""	163.5	145	"Efimov"	1999	7674	"Chordata"	"Reptilia"	"Ichthyosauria"	"Ophthalmosauridae"	"Undorosaurus"	NA	NA	2	"specimens"	48.366669	54.616669	"UPM EP-II-24 (785), UPM EP-II-25 (900)"	"Volga region near Ul'yanovsk V. virgatus zone"	NA	""	"RU"	"Ul'yanovsk"	""	"based on nearby landmark"	"minutes"	"local area"	"Volga region, near Undory"	"gp_mid"	49.63	45.12	"302"	"RU"	""	""	""	""	""	"Virgatites virgatus"	""	""	""	NA	NA	NA	""	""	"not reported"	""	""	""	""	""	""	""	""	""	"marine indet."	""	""	"macrofossils"	""	""	""	""	NA	NA	""	"body"	""	""	""	""	""	""	""	NA	""	""	""	""	"taxonomic"	"field collection"	""	""	""	NA	""	""	""	""	"marine"	NA	"actively mobile"	""	NA	"carnivore"	"viviparous"	NA	NA	"hydroxyapatite"	NA	NA	NA
293810	"occ"	NA	NA	28012	"Undorosaurus n. sp. khorlovensis"	"species"	386528	""	"Undorosaurus khorlovensis"	NA	"species"	386528	"Late Jurassic"	""	163.5	145	"Efimov"	1999	7674	"Chordata"	"Reptilia"	"Ichthyosauria"	"Ophthalmosauridae"	"Undorosaurus"	NA	NA	2	"specimens"	37	55	"UPM EP-II-27 (870), UPM EP-II-28 (1090)"	"Moscow Region Ichthyosaur V. virgatus zone"	NA	""	"RU"	"Moskva"	""	"based on nearby landmark"	"degrees"	"local area"	"Moscow Region"	"gp_mid"	41.1	42.81	"302"	"RU"	""	""	""	""	""	"Virgatites virgatus"	""	""	""	NA	NA	NA	""	""	"not reported"	""	""	""	""	""	""	""	""	""	"marine indet."	""	""	"macrofossils"	""	""	""	""	NA	NA	""	"body"	""	""	""	""	""	""	""	NA	""	""	""	""	"taxonomic"	"field collection"	""	""	""	NA	""	""	""	""	"marine"	NA	"actively mobile"	""	NA	"carnivore"	"viviparous"	NA	NA	"hydroxyapatite"	NA	NA	NA
293811	"occ"	NA	NA	28013	"Undorosaurus khorlovensis"	"species"	386528	""	"Undorosaurus khorlovensis"	NA	"species"	386528	"Late Jurassic"	""	163.5	145	"Efimov"	1999	7674	"Chordata"	"Reptilia"	"Ichthyosauria"	"Ophthalmosauridae"	"Undorosaurus"	NA	NA	1	"specimens"	37	55	"UPM EP-II-30 (1089)"	"Moscow Region Ichthyosaur K. fulgens zone"	NA	""	"RU"	"Moskva"	""	"based on nearby landmark"	"degrees"	"local area"	"Moscow Region"	"gp_mid"	41.1	42.81	"302"	"RU"	""	""	""	""	""	"Kachpurites fulgens"	""	""	""	NA	NA	NA	""	""	"not reported"	""	""	""	""	""	""	""	""	""	"marine indet."	""	""	"macrofossils"	""	""	""	""	NA	NA	""	"body"	""	""	""	""	""	""	""	NA	""	""	""	"dentary with teeth"	"taxonomic"	"field collection"	""	""	""	NA	""	""	""	""	"marine"	NA	"actively mobile"	""	NA	"carnivore"	"viviparous"	NA	NA	"hydroxyapatite"	NA	NA	NA
343565	"occ"	23642	NA	32321	"Baptanodon n. sp. robustus"	"species"	174057	"recombined as"	"Ophthalmosaurus robustus"	NA	"species"	174057	"Bathonian"	"Oxfordian"	168.3	157.3	"Gilmore"	1905	8710	"Chordata"	"Reptilia"	"Ichthyosauria"	"Ophthalmosauridae"	"Ophthalmosaurus"	NA	NA	1	"individuals"	-106.780556	43.649166	"CM 919"	"Red Fork, Powder River"	NA	"Baptanodon robustus type site"	"US"	"Wyoming"	"Johnson"	"based on nearby landmark"	"seconds"	"small collection"	"Red Fork of Powder River, Big Horn County (now Johnson County), Wyoming."	"gp_mid"	-35.56	30.95	"101"	"US"	""	"Sundance"	""	""	"bed"	""	""	""	""	NA	NA	NA	"described here only as \"marine beds of the Jurassic\""	""	"not reported"	""	""	""	""	""	""	""	""	""	"marine indet."	""	""	"macrofossils"	"some"	"some"	""	""	NA	NA	""	"body"	"good"	""	"snapshot"	""	""	""	""	NA	"frequent"	""	"none"	""	"taxonomic"	"selective quarrying,mechanical,field collection"	"CM"	""	""	NA	"W. H. Utterback"	"1902"	"Collected by W. H. Utterback in 1902 for Carnegie Museum."	""	"marine"	NA	"actively mobile"	""	NA	"carnivore"	"viviparous"	NA	NA	"hydroxyapatite"	NA	NA	NA
361674	"occ"	NA	NA	34267	"n. gen. Omphalosaurus n. sp. nevadanus"	"species"	54114	""	"Omphalosaurus nevadanus"	NA	"species"	54114	"Middle Triassic"	""	247.2	237	"Merriam"	1906	9007	"Chordata"	"Reptilia"	"Ichthyosauria"	"Omphalosauridae"	"Omphalosaurus"	NA	NA	2	"individuals"	-118.300003	40.133331	"UCMP 1019"	"American Canyon (UCMP/Stanford)"	NA	"Omphalosaurus nevadanus type site"	"US"	"Nevada"	"Pershing"	"based on nearby landmark"	"minutes"	"local area"	"West Humboldt Range, Nevada. Coordinates from UCMP website. American Canyon"	"gp_mid"	-39.08	24.35	"101"	"US"	"FED"	"Prida"	""	""	"bed"	""	""	""	""	NA	NA	NA	""	""	"\"limestone\""	""	""	""	"Y"	""	""	""	""	""	"marine indet."	""	""	"macrofossils"	""	""	""	""	NA	NA	""	"body"	"good"	""	""	""	""	""	""	NA	"occasional"	""	""	""	"taxonomic"	"selective quarrying,field collection"	"UCMP"	""	""	NA	"V. C. Osmont"	"1902"	""	""	"marine"	NA	"actively mobile"	""	NA	"carnivore"	"viviparous"	NA	NA	"hydroxyapatite"	NA	NA	NA
363117	"occ"	NA	NA	34401	"n. gen. Grippia n. sp. longirostris"	"species"	170764	""	"Grippia longirostris"	NA	"species"	170764	"Olenekian"	""	251.2	247.2	"Wiman"	1929	9052	"Chordata"	"Reptilia"	"Ichthyosauria"	"Grippiidae"	"Grippia"	NA	NA	1	"specimens"	20	78	""	"Agardh Bay"	NA	""	"NO"	"Spitzberger"	""	"based on nearby landmark"	"minutes"	""	"Found east of Ivory Glacier"	"gp_mid"	NA	NA	"coordinates not computable using this model"	"NO"	""	"Vikinghøgda"	""	"Vendomdalen"	"bed"	""	"Spitsbergen"	"Grippia niveau bonebed"	""	NA	NA	NA	"Grippia niveau bonebed\r\nalso Spathian"	""	"ironstone"	""	""	""	""	""	""	""	""	""	"marine indet."	""	""	"macrofossils"	""	""	""	""	NA	NA	""	"body"	""	""	""	""	""	""	""	NA	""	""	""	""	"taxonomic"	""	""	""	""	NA	""	""	""	""	"marine"	NA	"actively mobile"	""	NA	"carnivore"	"viviparous"	NA	NA	"hydroxyapatite"	NA	NA	NA
388713	"occ"	NA	NA	37180	"Chensaurus chaoxianensis"	"species"	150076	""	"Chensaurus chaoxianensis"	NA	"species"	150075	"Spathian"	""	251.3	247.2	"Motani and You"	1998	9957	"Chordata"	"Reptilia"	"Ichthyosauria"	"Grippiidae"	"Chaohusaurus"	NA	NA	1	"specimens"	117	33	"Type specimen is P45-H85-25"	"Chensaurus chaoxianensis type locality"	NA	"P45-H85-25, Majia-Shan"	"CN"	"Anhui"	"Chao"	"based on political unit"	"degrees"	"local area"	"Type locality is located at Majia-Shan, Chao County, Anhui Province, P.R. China. More detailed stratigraphic information can be found in Chen (1985), which is in Chinese."	"gp_mid"	116.49	7.27	"604"	"CN"	""	""	""	""	""	""	""	""	""	NA	NA	NA	""	""	""	""	""	""	""	""	""	""	""	""	"marine indet."	""	""	"macrofossils"	""	""	""	""	NA	NA	""	"body"	"good"	""	""	""	""	""	""	NA	""	""	""	""	"taxonomic"	"survey of museum collection"	""	""	""	NA	""	""	"Anhui Geological Museum (AGM), Hefei, China\r\nIn ref. 9957, Motani describes two additional specimens of C. chaoxianensis, saying they are from the same biostratigraphic zone of the type locality."	""	"marine"	NA	"actively mobile"	""	NA	"carnivore"	"viviparous"	NA	NA	"hydroxyapatite"	NA	NA	NA
388714	"occ"	NA	NA	37181	"Chensaurus chaoxianensis"	"species"	150076	""	"Chensaurus chaoxianensis"	NA	"species"	150075	"Spathian"	""	251.3	247.2	"Motani et al."	1996	9958	"Chordata"	"Reptilia"	"Ichthyosauria"	"Grippiidae"	"Chaohusaurus"	NA	NA	1	"specimens"	117	33	"\"tentatively identified as\""	"50 km southwest of C. chaoxianensis type locality"	NA	"Chensaurus, WCRAI 313"	"CN"	"Anhui"	""	"based on political unit"	"degrees"	"small collection"	"Anhui Province, China, about 50 km southwest of the type locality of Chensaurus (Chen 1985)."	"gp_mid"	116.49	7.27	"604"	"CN"	""	""	""	""	""	""	""	""	""	NA	NA	NA	"Spathian, Lower Triassic"	""	""	""	""	""	""	""	""	""	""	""	"marine indet."	""	""	"macrofossils"	""	""	""	""	NA	NA	""	"body"	"good"	""	""	""	""	""	""	NA	"none"	""	""	"The body outline is partially preserved in the dorsal region. Gastralia are preserved in situ."	"taxonomic"	"field collection"	""	""	""	NA	""	""	"Wuwei Cultural Relic Administrative Institute (specimen or locality number = WCRAI 313)."	""	"marine"	NA	"actively mobile"	""	NA	"carnivore"	"viviparous"	NA	NA	"hydroxyapatite"	NA	NA	NA
