taxon	max_ma	min_ma	stratigraphy	lithostratigraphy	biostratigraphy	locality	references	pbdb_occurrences	specimen_no
Acamptonectes densus	134.71	133.87	Lower Hauterivian	Speeton Clay Formation	Endomoceras ammonite biozones	Yorkshire, UK	Fischer2012PO,Hopson2008	1006657	GLAHM 132588
Acamptonectes densus	134.71	133.87	Lower Hauterivian	Speeton Clay Formation	Endomoceras ammonite biozones	Yorkshire, UK	Fischer2012PO,Hopson2008	1006659	NHMUK R11185
Acamptonectes densus	133.32	132.85	Upper Hauterivian		Milankowskia speetonensis Ammonite Biozone	Lower Saxony, Germany	Siebertz2008BNS	1006660	SNHM 1284-R
Acuetzpalin carranzai	157.25	152.06	Kimmeridgian	La Casita Formation		Durango State, Mexico	BarrientosLara2020JSAES	1492004	IGM 9519
Aegirosaurus leptospondylus	152.06	150.94	Lower Tithonian	Altmühltal Formation	Hybonoticeras hybonotum Ammonite Biozone	Bavaria, Germany	Bardet2000JP	908439	SM
Aegirosaurus leptospondylus	152.06	150.94	Lower Tithonian	Altmühltal Formation	Hybonoticeras hybonotum Ammonite Biozone	Bavaria, Germany	Bardet2000JP	908440	BSPHGM 1954 I 608
Aegirosaurus leptospondylus	152.06	150.94	Lower Tithonian	Altmühltal Formation	Hybonoticeras hybonotum Ammonite Biozone	Bavaria, Germany	Bardet2000JP		NHMUK 42833
Ophthalmosaurus natans	163.10	157.25	Oxfordian	Sundance Formation		Fremont County, Wyoming, USA	Mehl1928JSLDUG	899260	UM 503
Ophthalmosaurus natans	161.18	159.88	Oxfordian	Sundance Formation	Cardioceras cordatum–Perisphinctes plicatilis ammonite biozones	Natrona County, Wyoming, USA	Drake1994FAFCWGAG		UW 24804
Arthropterygius chrisorum	161.18	152.06	Oxfordian–Kimmeridgian	Rignes Formation		Melville Island, Canada	Maxwell2010	872313	CMN 40608
Arthropterygius chrisorum	161.18	152.06	Oxfordian–Kimmeridgian	Rignes Formation		Melville Island, Canada	Maxwell2010	1062206	CMN 40609
Arthropterygius thalassonotus	147.72	145.73	Upper Tithonian	Vaca Muerta Formation		Neuquén Province, Argentina	Campos2019ZJLS	1492005	MOZ-PV 6145
Arthropterygius chrisorum	145.73	143.57	Lower Berriasian	Hofer Formation		Franz Josef Land, Russia	Zverkov2019P		CMGE 3–16/13328
Arthropterygius chrisorum	145.73	143.57	Lower Berriasian	Hofer Formation		Franz Josef Land, Russia	Zverkov2019P		CMGE 17–44/13328
Arthropterygius chrisorum	149.59	147.53	Middle Volgian	Promza Formation	Dorsoplanites panderi Ammonite Biozone	Ulyanovsk Region, Russia	Zverkov2019P		SGM 1573
Arthropterygius chrisorum	147.93	147.52	Middle Volgian	Agardfjellet Formation	?Dorsoplanites maximus Ammonite Biozone	Svalbard, Norway	Delsett2018P,Zverkov2019P		PMO 222.669
Arthropterygius cf. chrisorum	149.59	147.53	Middle Volgian	Promza Formation	Dorsoplanites panderi Ammonite Biozone	Ulyanovsk Region, Russia	Zverkov2019P		SGM 1743-2
Arthropterygius lundi	149.59	147.53	Middle Volgian	Promza Formation	Dorsoplanites panderi Ammonite Biozone	Samara Region, Russia	Zverkov2019P		SGM 1731-01–15
Arthropterygius lundi	149.09	147.52	Middle Volgian	Agardhfjellet Formation	Pavlovia rugosa–Dorsplanites ilovaiskii ammonite biozones	Svalbard Norway	Roberts2014PO,Zverkov2019P		PMO 222.654
Arthropterygius volgensis	149.59	147.53	Middle Volgian	Promza Formation	Dorsoplanites panderi Ammonite Biozone	Samara Region, Russia	Zverkov2019P		KSU 982/P-213
Arthropterygius lundi	149.59	147.53	Middle Volgian	Promza Formation	Dorsoplanites panderi Ammonite Biozone	Ulyanovsk Region, Russia	Zverkov2019P		SGM 1502
Arthropterygius hoybergeti	148.35	147.52	Middle Volgian	Agardfjellet Formation	Dorsoplanites ilovaiskii–Dorsoplanites maximus ammonite biozones	Svalbard, Norway	Druckenmiller2012NJG, Zverkov2019P		SVB 1451
Arthropterygius cf. hoybergeti	149.59	147.53	Middle Volgian	Promza Formation	Dorsoplanites panderi Ammonite Biozone	Ulyanovsk Region, Russia	Zverkov2019P		YKM 63548
Arthropterygius cf. hoybergeti	149.59	147.53	Middle Volgian	Promza Formation	Dorsoplanites panderi Ammonite Biozone	Ulyanovsk Region, Russia	Zverkov2019P		UPM 2442
Arthropterygius cf. chrisorum	145.73	143.57	?Lower Berriasian	Agardhfjellet Formation		Svalbard, Norway	Delsett2017PO,Zverkov2019P		PMO 222.655
Arthropterygius cf. chrisorum	147.52	147.2	Middle Volgian	Agardhfjellet Formation	?Crendonites aguinus Ammonite Biozone	Svalbard, Norway	Delsett2018P,Zverkov2019P		PMO 224.250
Undorosaurus gorodischensis	147.45	146.9	Middle Volgian		Epivirgatites nikitini Ammonite Biozone	Ulyanovsk Region, Russia	Efimov1999PZa,Zverkov2019JSP	293808	UPM EP-II-20(572)
Undorosaurus gorodischensis	147.52	147.2	Middle Volgian	Agardhfjellet Formation	?Crendonites aguinus Ammonite Biozone	Svalbard, Norway	Druckenmiller2012NJG,Zverkov2019JSP	1077966	PMO 214.578
Undorosaurus gorodischensis	146.67	146.43	Upper Volgian		Garniericeras catenulatum Ammonite Biozone	Ulyanovsk Region, Russia	Efimov1999PZa,Zverkov2019JSP	293807	UPM EP-II-23(744)
Undorosaurus gorodischensis	147.45	146.9	Middle Volgian		Epivirgatites nikitini Ammonite Biozone	Ulyanovsk Region, Russia	Efimov1999PZa,Zverkov2019JSP		UPM EP-II-21(1075)
