accepted_name	max_ma	min_ma
Acamptonectes densus	134.71	132.85
Acuetzpalin carranzai	157.25	152.06
Aegirosaurus leptospondylus	152.06	150.94
Arthropterygius chrisorum	161.18	143.57
Arthropterygius hoybergeti	149.59	147.52
Arthropterygius lundi	149.59	147.52
Arthropterygius thalassonotus	147.72	145.73
Arthropterygius volgensis	149.59	147.53
Athabascasaurus bitumineus	113.14	110.22
Auroroborealia incognita	226.54	222.5
Baisesaurus robustus	247.79	246.9
Barracudasauroides panxianensis	244.34	244.14
Besanosaurus leptorhynchus	242.03	241.5
Brachypterygius extremus	157.25	150.66
Brachypterygius pseudoscythica	150.19	149.59
Californosaurus perrini	232.82	231.25
Callawayia neoscapularis	224.31	217.52
Cartorhynchus lenticarpus	247.14	247.06
Catutosaurus gaspariniae	150	139.39
Caypullisaurus bonapartei	147.72	139.39
Cetarthrosaurus walkeri	107.59	100.5
Chacaicosaurus cayi	170.3	169.45
Chaohusaurus brevifemoralis	247.14	247.06
Chaohusaurus chaoxianensis	247.14	247.06
Chaohusaurus geishanensis	247.14	247.06
Chaohusaurus zhangjiawanensis	247.79	246.9
Contectopalatus atavus	244.34	241.5
Cymbospondylus buchseri	242.03	241.5
Cymbospondylus duelferi	243.43	239.1
Cymbospondylus nichollsi	243.43	239.1
Cymbospondylus petrinus	243.43	239.1
Cymbospondylus youngorum	245.09	243.43
Dearcmhara shawcrossi	174.43	169.45
Eohupehsuchus brevicollis	247.39	246.8
Eretmorhipis carrolldongi	247.39	246.8
Eurhinosaurus longirostris	183.7	178.24
Excalibosaurus costini	199.36	197.95
Gengasaurus nicosiae	153.55	150.94
Grendelius alekseevi	149.59	147.53
Grendelius zhuravlevi	149.59	147.53
Grippia longirostris	248.2	246.8
Guizhouichthyosaurus tangae	244.34	233.6
Guizhouichthyosaurus wolonggangense	235.59	233.6
Gulosaurus helmi	248.2	246.8
Hauffiopteryx altera	182.9	182.05
Hauffiopteryx typicus	188.29	174.97
Himalayasaurus tibetensis	228.45	209.56
Hudsonelpidia brevirostris	224.31	221.44
Hupehsuchus nanchangensis	247.39	246.8
Ichthyosaurus acutirostris	183.7	180.36
Ichthyosaurus anningae	200.16	183.7
Ichthyosaurus breviceps	201.36	183.7
Ichthyosaurus communis	200.16	191.36
Ichthyosaurus conybeari	200.16	190.74
Ichthyosaurus larkini	201.36	201.16
Ichthyosaurus somersetensis	201.36	200.99
Isfjordosaurus minor	247.04	246.8
Jabalisaurus meztli	154.73	152.06
Kyhytysuka sachicarum	130.77	113.14
Leninia stellans	126.01	123.88
Leptonectes moorei	189.82	189.52
Leptonectes solei	195.59	194.18
Leptonectes tenuirostris	201.36	201.16
Macgowania janiceps	217.52	214.07
Maiaspondylus cantabridgiensis	111.27	100.5
Maiaspondylus lindoei	113.14	100.5
Malawania anachronus	133.48	126.3
Mixosaurus cornalianus	242.03	241.5
Mixosaurus kuhnschneyderi	244.34	241.5
Mixosaurus xindianensis	244.34	244.14
Mollesaurus periallus	170.3	169.45
Muiscasaurus catheti	122.98	113.14
Nanchangosaurus suni	247.39	246.8
Nannopterygius borealis	144.67	141.15
Nannopterygius enthekiodon	154.73	147.72
Nannopterygius saveljeviensis	149.59	146.45
Nannopterygius yasykovi	147.93	146.45
Ophthalmosaurus icenicus	164.95	152.06
Ophthalmosaurus natans	163.97	152.06
Parahupehsuchus longus	247.39	246.8
Parrassaurus yacahuitztli	147.72	145.73
Parvinatator wapitiensis	248.2	246.8
Pervushovisaurus bannovkensis	96.24	95.47
Pervushovisaurus campylodon	100.5	96.24
Pessopteryx nisseri	247.04	246.8
Phalarodon callawayi	248.2	235.59
Phalarodon fraasi	247.39	237
Phalarodon major	244.34	243.43
Phantomosaurus neubigi	243.43	241.5
Platypterygius americanus	113.14	93.9
Platypterygius australis	107.59	100.5
Platypterygius hauthali	139.39	129.41
Platypterygius hercynicus	122.98	103.13
Platypterygius ochevi	113.14	93.9
Protoichthyosaurus applebyi	201.36	174.15
Protoichthyosaurus prostaxalis	201.36	196.4
Qianichthyosaurus xingyiensis	241.5	237
Qianichthyosaurus zhoui	235.59	233.6
Quasianosteosaurus vikinghoegdai	247.04	246.8
Sclerocormus parviceps	247.14	247.06
Shastasaurus liangae	235.59	233.6
Shastasaurus pacificus	233.6	231.25
Shastasaurus sikanniensis	216.58	215.33
Shonisaurus popularis	233.6	217.52
Simbirskiasaurus birjukovi	130.77	129.41
Sisteronia seeleyi	113.14	93.9
Stenopterygius aaleniensis	174.15	172.13
Stenopterygius quadriscissus	183.7	180.36
Stenopterygius triscissus	183.3	180.36
Stenopterygius uniter	182.9	180.36
Suevoleviathan disinteger	183.7	180.36
Suevoleviathan integer	183.7	178.24
Sumpalla argentina	150	145.73
Temnodontosaurus azerguensis	180.36	178.24
Temnodontosaurus crassimanus	180.36	178.24
Temnodontosaurus eurycephalus	199.36	197.95
Temnodontosaurus nuertingensis	191.36	189.21
Temnodontosaurus platyodon	200.16	180.36
Temnodontosaurus trigonodon	183.7	180.36
Temnodontosaurus zetlandicus	182.9	178.24
Thaisaurus chonglakmanii	247.91	247.39
Thalassodraco etchesi	150.18	149.59
Thalattoarchon saurophagis	245.09	243.43
Tholodus schmidi	246.8	237
Toretocnemus californicus	233.6	209.56
Toretocnemus zitteli	232.82	231.25
Undorosaurus gorodischensis	147.93	146.43
Undorosaurus kielanae	149.59	146.9
Undorosaurus nessovi	147.93	147.45
Undorosaurus trautscholdi	147.45	146.67
Utatsusaurus hataii	247.39	246.8
Wahlisaurus massarae	201.36	201.16
Wimanius odontopalatus	242.03	241.5
Xinminosaurus catactes	244.34	243.43
