oid	﻿taxon	taxon_rank	max_ma	min_ma	stratigraphy	lithostratigraphy	biostratigraphy	locality	country_code	references	pbdb_occurrences	specimen_no	lat	lng	utm	paleo_lng	paleo_lat	higher_than	comments
1	Acamptonectes densus	species	134.71	133.87	Lower Hauterivian	Speeton Clay Formation	Endomoceras ammonite biozones	Yorkshire, UK	GB	Fischer2012PO,Hopson2008	1006657	GLAHM 132588	54.161999	-0.236					
2	Acamptonectes densus	species	134.71	133.87	Lower Hauterivian	Speeton Clay Formation	Endomoceras ammonite biozones	Yorkshire, UK	GB	Fischer2012PO,Hopson2008	1006659	NHMUK R11185	54.210098	-0.2893					
3	Acamptonectes densus	species	133.32	132.85	Upper Hauterivian		Milankowskia speetonensis Ammonite Biozone	Lower Saxony, Germany	DE	Siebertz2008BNS	1006660	SNHM 1284-R	52.24889	10.654167					
4	Acuetzpalin carranzai	species	157.25	152.06	Kimmeridgian	La Casita Formation		Durango State, Mexico	MX	BarrientosLara2020JSAES	1492004	IGM 9519	24.726667	-103.547501					
5	Aegirosaurus	genus	136.28	135.33	Valanginian		Olcostephanus nicklesi Ammonite Subbiozone	Laux-Montaux, France	FR	Fischer2011CR	915621	RGHP LA 1	44.318054	5.559722					
6	Aegirosaurus leptospondylus	species	152.06	150.94	Lower Tithonian	Altmühltal Formation	Hybonoticeras hybonotum Ammonite Biozone	Bavaria, Germany	DE	Bardet2000JP	908439	SM	48.8825	10.948333					
7	Aegirosaurus leptospondylus	species	152.06	150.94	Lower Tithonian	Altmühltal Formation	Hybonoticeras hybonotum Ammonite Biozone	Bavaria, Germany	DE	Bardet2000JP	908440	BSPHGM 1954 I 608	48.873333	10.973889					
8	Aegirosaurus leptospondylus	species	152.06	150.94	Lower Tithonian	Altmühltal Formation	Hybonoticeras hybonotum Ammonite Biozone	Bavaria, Germany	DE	Bardet2000JP		NHMUK 42833							
9	Arthropterygius cf. chrisorum	species	149.59	147.53	Middle Volgian	Promza Formation	Dorsoplanites panderi Ammonite Biozone	Ulyanovsk Region, Russia	RU	Zverkov2019P		SGM 1743-2	54.157656	48.642742					location estimated on bank near Krestovo-Gorodische
10	Arthropterygius cf. chrisorum	species	145.73	143.57	Lower Berriasian?	Agardhfjellet Formation		Svalbard, Norway	SJ	Delsett2017PO,Zverkov2019P		PMO 222.655			33X 0518847 8696044				
11	Arthropterygius cf. chrisorum	species	147.52	147.2	Middle Volgian	Agardhfjellet Formation	Crendonites aguinus Ammonite Biozone?	Svalbard, Norway	SJ	Delsett2018P,Zverkov2019P		PMO 224.250	78.338949	16.043724	33X 0523549 8696407				
12	Arthropterygius cf. hoybergeti	species	149.59	147.53	Middle Volgian	Promza Formation	Dorsoplanites panderi Ammonite Biozone	Ulyanovsk Region, Russia	RU	Zverkov2019P		YKM 63548	54.157656	48.642742					location estimated on bank near Krestovo-Gorodische
13	Arthropterygius cf. hoybergeti	species	149.59	147.53	Middle Volgian	Promza Formation	Dorsoplanites panderi Ammonite Biozone	Ulyanovsk Region, Russia	RU	Zverkov2019P		UPM 2442	54.157656	48.642742					location estimated on Krestovo-Gorodische
14	Arthropterygius chrisorum	species	161.18	152.06	Oxfordian–Kimmeridgian	Rignes Formation		Melville Island, Canada	CA	Maxwell2010	872313	CMN 40608	76.151108	-113.5					
15	Arthropterygius chrisorum	species	161.18	152.06	Oxfordian–Kimmeridgian	Rignes Formation		Melville Island, Canada	CA	Maxwell2010	1062206	CMN 40609	76.151108	-113.5					
16	Arthropterygius chrisorum	species	145.73	143.57	Lower Berriasian	Hofer Formation		Franz Josef Land, Russia	RU	Zverkov2019P		CMGE 3–16/13328	80.288	58.83205					location at centre Berghaus Island
