accepted_name	max_ma	min_ma
Acamptonectes_densus	134.71	133.87
Acamptonectes_densus	134.71	133.87
Acamptonectes_densus	133.32	132.85
Acuetzpalin_carranzai	157.25	152.06
Aegirosaurus_leptospondylus	152.06	150.94
Aegirosaurus_leptospondylus	152.06	150.94
Aegirosaurus_leptospondylus	152.06	150.94
Arthropterygius_chrisorum	149.59	147.53
Arthropterygius_chrisorum	145.73	143.57
Arthropterygius_chrisorum	147.52	147.2
Arthropterygius_hoybergeti	149.59	147.53
Arthropterygius_hoybergeti	149.59	147.53
Arthropterygius_chrisorum	161.18	152.06
Arthropterygius_chrisorum	161.18	152.06
Arthropterygius_chrisorum	145.73	143.57
Arthropterygius_chrisorum	145.73	143.57
Arthropterygius_chrisorum	149.59	147.53
Arthropterygius_chrisorum	147.93	147.52
Arthropterygius_hoybergeti	148.35	147.52
Arthropterygius_lundi	149.59	147.53
Arthropterygius_lundi	149.09	147.52
Arthropterygius_lundi	149.59	147.53
Arthropterygius_thalassonotus	147.72	145.73
Arthropterygius_volgensis	149.59	147.53
Athabascasaurus_bitumineus	113.14	110.22
Barracudasauroides_panxianensis	244.34	244.14
Barracudasauroides_panxianensis	244.34	244.14
Barracudasauroides_panxianensis	244.34	244.14
Barracudasauroides_panxianensis	244.34	244.14
Barracudasauroides_panxianensis	244.34	244.14
Barracudasauroides_panxianensis	244.34	244.14
Barracudasauroides_panxianensis	244.34	244.14
Barracudasauroides_panxianensis	244.34	244.14
Besanosaurus_leptorhynchus	242.03	241.5
Brachypterygius_extremus	151.92	150.66
Brachypterygius_extremus	151.04	150.66
Brachypterygius_pseudoscythica	150.19	149.59
Grendelius_alekseevi	149.59	147.53
Grendelius_zhuravlevi	149.59	147.53
Grendelius_zhuravlevi	149.59	148.35
Californosaurus_perrini	232.82	231.25
Californosaurus_perrini	232.82	231.25
Californosaurus_perrini	232.82	231.25
Californosaurus_perrini	232.82	231.25
Callawayia_neoscapularis	221.44	217.52
Callawayia_neoscapularis	221.44	217.52
Callawayia_neoscapularis	224.31	221.44
Shastasaurus_pacificus	232.82	231.25
Shastasaurus_pacificus	232.82	231.25
Shastasaurus_pacificus	232.82	231.25
Shastasaurus_pacificus	232.82	231.25
Shastasaurus_pacificus	232.82	231.25
Shastasaurus_pacificus	232.82	231.25
Shastasaurus_pacificus	233.6	232.82
Shastasaurus_pacificus	233.6	232.82
Shastasaurus_pacificus	233.6	232.82
Shastasaurus_sikanniensis	216.58	215.33
Shonisaurus_popularis	233.6	217.52
Shonisaurus_popularis	231.25	228.45
Shonisaurus_popularis	231.25	228.45
Shonisaurus_popularis	231.25	228.45
Caypullisaurus_bonapartei	147.72	145.73
Caypullisaurus_bonapartei	147.72	145.73
Caypullisaurus_bonapartei	145.73	139.39
Caypullisaurus_bonapartei	147.72	145.73
Caypullisaurus_bonapartei	147.72	145.73
Cetarthrosaurus_walkeri	107.59	100.5
Cetarthrosaurus_walkeri	107.59	100.5
Cartorhynchus_lenticarpus	247.14	247.06
Sisteronia_seeleyi	100.25	98.37
Sisteronia_seeleyi	107.59	100.5
Sisteronia_seeleyi	107.59	100.5
Sisteronia_seeleyi	107.59	100.5
Sisteronia_seeleyi	107.59	100.5
Sisteronia_seeleyi	113.14	107.59
Sisteronia_seeleyi	113.14	107.59
Sisteronia_seeleyi	100.25	93.9
Ophthalmosaurus_natans	163.97	159.49
Ophthalmosaurus_natans	161.18	159.88
Ophthalmosaurus_natans	163.97	159.49
Ophthalmosaurus_natans	163.97	159.49
Ophthalmosaurus_natans	163.97	159.49
Ophthalmosaurus_natans	163.97	159.49
Ophthalmosaurus_natans	163.97	159.49
Ophthalmosaurus_natans	163.97	159.49
Ophthalmosaurus_natans	163.97	159.49
Ophthalmosaurus_natans	163.97	159.49
Ophthalmosaurus_natans	163.97	159.49
Ophthalmosaurus_natans	163.97	161.18
Undorosaurus_gorodischensis	147.45	146.9
Undorosaurus_gorodischensis	147.45	146.9
Undorosaurus_gorodischensis	147.52	147.2
Undorosaurus_gorodischensis	146.67	146.43
Undorosaurus_gorodischensis	147.93	147.45
Undorosaurus_kielanae	149.59	146.9
Undorosaurus_nessovi	147.93	147.45
Undorosaurus_nessovi	147.93	147.45
Undorosaurus_trautscholdi	147.45	146.67
Chacaicosaurus_cayi	170.3	169.45
Chaohusaurus_brevifemoralis	247.14	247.06
Chaohusaurus_brevifemoralis	247.14	247.06
Sclerocormus_parviceps	247.14	247.06
Chaohusaurus_brevifemoralis	247.14	247.06
Chaohusaurus_geishanensis	247.14	247.06
Chaohusaurus_geishanensis	247.14	247.06
Chaohusaurus_geishanensis	247.14	247.06
Chaohusaurus_chaoxianensis	247.14	247.06
Chaohusaurus_chaoxianensis	247.14	247.06
Chaohusaurus_chaoxianensis	247.14	247.06
Chaohusaurus_chaoxianensis	247.14	247.06
Chaohusaurus_chaoxianensis	247.14	247.06
Chaohusaurus_zhangjiawanensis	247.79	246.9
Chaohusaurus_zhangjiawanensis	247.79	246.9
Cymbospondylus_petrinus	243.43	239.1
Cymbospondylus_petrinus	243.43	239.1
Cymbospondylus_duelferi	243.43	239.1
Cymbospondylus_petrinus	243.43	239.1
Cymbospondylus_petrinus	243.43	239.1
Cymbospondylus_nichollsi	243.43	239.1
Cymbospondylus_buchseri	242.03	241.5
Dearcmhara_shawcrossi	174.43	169.45
Ichthyosaurus_communis	196.54	195.59
Ichthyosaurus_communis	196.54	195.59
Utatsusaurus_hataii	247.14	247.06
Utatsusaurus_hataii	247.39	248.8
Utatsusaurus_hataii	247.14	247.06
Utatsusaurus_hataii	247.14	247.06
Thaisaurus_chonglakmanii	247.91	247.39
Grippia_longirostris	247.04	246.8
Grippia_longirostris	247.04	246.8
Grippia_longirostris	247.04	246.8
Grippia_longirostris	247.04	246.8
Grippia_longirostris	247.04	246.8
Grippia_longirostris	247.04	246.8
Grippia_longirostris	247.04	246.8
Grippia_longirostris	247.04	246.8
Grippia_longirostris	247.04	246.8
Grippia_longirostris	247.04	246.8
Grippia_longirostris	247.04	246.8
Grippia_longirostris	247.04	246.8
Grippia_longirostris	247.04	246.8
Grippia_longirostris	247.04	246.8
Grippia_longirostris	247.04	246.8
Grippia_longirostris	247.04	246.8
Pessopteryx_nisseri	247.04	246.8
Pessopteryx_nisseri	247.04	246.8
Pessopteryx_nisseri	247.04	246.8
Pessopteryx_nisseri	247.04	246.8
Pessopteryx_nisseri	247.04	246.8
Grippia_longirostris	247.04	246.8
Grippia_longirostris	247.04	246.8
Quasianosteosaurus_vikinghoegdai	247.04	246.8
Phalarodon_callawayi	243.43	239.1
Phalarodon_callawayi	243.43	239.1
Phalarodon_callawayi	243.43	239.1
Phalarodon_callawayi	239.1	235.59
Phalarodon_callawayi	239.1	235.59
Phalarodon_callawayi	239.1	235.59
Phalarodon_callawayi	239.1	235.59
Phalarodon_callawayi	239.1	235.59
Phalarodon_callawayi	239.1	235.59
Phalarodon_callawayi	239.1	235.59
Phalarodon_callawayi	239.1	235.59
Phalarodon_callawayi	239.1	235.59
Phalarodon_callawayi	239.1	235.59
Phalarodon_callawayi	247.39	239.1
Phalarodon_fraasi	247.39	239.1
Phalarodon_callawayi	247.39	239.1
Phalarodon_callawayi	247.39	239.1
Phalarodon_callawayi	247.39	239.1
Phalarodon_callawayi	247.39	239.1
Phalarodon_callawayi	247.39	239.1
Phalarodon_callawayi	248.2	246.8
Phalarodon_fraasi	243.43	239.1
Phalarodon_fraasi	243.43	239.1
Phalarodon_fraasi	239.1	237
Phalarodon_fraasi	239.1	237
Phalarodon_fraasi	239.1	237
Phalarodon_fraasi	239.1	237
Phalarodon_fraasi	239.1	237
Phalarodon_fraasi	239.1	237
Phalarodon_fraasi	239.1	237
Phalarodon_fraasi	239.1	237
Phalarodon_fraasi	244.34	243.43
Phalarodon_fraasi	246.8	237
Phalarodon_fraasi	246.8	237
Phalarodon_major	244.34	243.43
Phalarodon_major	244.34	243.43
Platypterygius_hercynicus	122.98	113.14
Platypterygius_hercynicus	103.94	103.13
Kyhytysuka_sachicarum	130.77	113.14
Kyhytysuka_sachicarum	127.47	126.3
Auroroborealia_incognita	226.54	222.5
Auroroborealia_incognita	226.54	222.5
Auroroborealia_incognita	226.54	222.5
