Species	Status	min_age	max_age
Acamptonectes_densus	extinct	133.87	134.71
Acamptonectes_densus	extinct	133.87	134.71
Acamptonectes_densus	extinct	132.85	133.32
Acuetzpalin_carranzai	extinct	152.06	157.25
Aegirosaurus_leptospondylus	extinct	150.94	152.06
Aegirosaurus_leptospondylus	extinct	150.94	152.06
Aegirosaurus_leptospondylus	extinct	150.94	152.06
Arthropterygius_chrisorum	extinct	147.53	149.59
Arthropterygius_chrisorum	extinct	143.57	145.73
Arthropterygius_chrisorum	extinct	147.2	147.52
Arthropterygius_hoybergeti	extinct	147.53	149.59
Arthropterygius_hoybergeti	extinct	147.53	149.59
Arthropterygius_chrisorum	extinct	152.06	161.18
Arthropterygius_chrisorum	extinct	152.06	161.18
Arthropterygius_chrisorum	extinct	143.57	145.73
Arthropterygius_chrisorum	extinct	143.57	145.73
Arthropterygius_chrisorum	extinct	147.53	149.59
Arthropterygius_chrisorum	extinct	147.52	147.93
Arthropterygius_hoybergeti	extinct	147.52	148.35
Arthropterygius_lundi	extinct	147.53	149.59
Arthropterygius_lundi	extinct	147.52	149.09
Arthropterygius_lundi	extinct	147.53	149.59
Arthropterygius_thalassonotus	extinct	145.73	147.72
Arthropterygius_volgensis	extinct	147.53	149.59
Athabascasaurus_bitumineus	extinct	110.22	113.14
Barracudasauroides_panxianensis	extinct	244.14	244.34
Barracudasauroides_panxianensis	extinct	244.14	244.34
Barracudasauroides_panxianensis	extinct	244.14	244.34
Barracudasauroides_panxianensis	extinct	244.14	244.34
Barracudasauroides_panxianensis	extinct	244.14	244.34
Barracudasauroides_panxianensis	extinct	244.14	244.34
Barracudasauroides_panxianensis	extinct	244.14	244.34
Barracudasauroides_panxianensis	extinct	244.14	244.34
Besanosaurus_leptorhynchus	extinct	241.5	242.03
Brachypterygius_extremus	extinct	150.66	151.92
Brachypterygius_extremus	extinct	150.66	151.04
Brachypterygius_pseudoscythica	extinct	149.59	150.19
Grendelius_alekseevi	extinct	147.53	149.59
Grendelius_zhuravlevi	extinct	147.53	149.59
Grendelius_zhuravlevi	extinct	148.35	149.59
Californosaurus_perrini	extinct	231.25	232.82
Californosaurus_perrini	extinct	231.25	232.82
Californosaurus_perrini	extinct	231.25	232.82
Californosaurus_perrini	extinct	231.25	232.82
Callawayia_neoscapularis	extinct	217.52	221.44
Callawayia_neoscapularis	extinct	217.52	221.44
Callawayia_neoscapularis	extinct	221.44	224.31
Shastasaurus_pacificus	extinct	231.25	232.82
