accepted_name	max_ma	min_ma
Acamptonectes densus	134.71	133.87
Acamptonectes densus	134.71	133.87
Acamptonectes densus	133.32	132.85
Acuetzpalin carranzai	157.25	152.06
Aegirosaurus leptospondylus	152.06	150.94
Aegirosaurus leptospondylus	152.06	150.94
Aegirosaurus leptospondylus	152.06	150.94
Arthropterygius chrisorum	149.59	147.53
Arthropterygius chrisorum	145.73	143.57
Arthropterygius chrisorum	147.52	147.2
Arthropterygius hoybergeti	149.59	147.53
Arthropterygius hoybergeti	149.59	147.53
Arthropterygius chrisorum	161.18	152.06
Arthropterygius chrisorum	161.18	152.06
Arthropterygius chrisorum	145.73	143.57
Arthropterygius chrisorum	145.73	143.57
Arthropterygius chrisorum	149.59	147.53
Arthropterygius chrisorum	147.93	147.52
Arthropterygius hoybergeti	148.35	147.52
Arthropterygius lundi	149.59	147.53
Arthropterygius lundi	149.09	147.52
Arthropterygius lundi	149.59	147.53
Arthropterygius thalassonotus	147.72	145.73
Arthropterygius volgensis	149.59	147.53
Athabascasaurus bitumineus	113.14	110.22
Barracudasauroides panxianensis	244.34	244.14
Barracudasauroides panxianensis	244.34	244.14
Barracudasauroides panxianensis	244.34	244.14
Barracudasauroides panxianensis	244.34	244.14
Barracudasauroides panxianensis	244.34	244.14
Barracudasauroides panxianensis	244.34	244.14
Barracudasauroides panxianensis	244.34	244.14
Barracudasauroides panxianensis	244.34	244.14
Besanosaurus leptorhynchus	242.03	241.5
Brachypterygius extremus	151.92	150.66
Brachypterygius extremus	151.04	150.66
Brachypterygius pseudoscythica	150.19	149.59
Grendelius alekseevi	149.59	147.53
Grendelius zhuravlevi	149.59	147.53
Grendelius zhuravlevi	149.59	148.35
Californosaurus perrini	232.82	231.25
Californosaurus perrini	232.82	231.25
Californosaurus perrini	232.82	231.25
Californosaurus perrini	232.82	231.25
Callawayia neoscapularis	221.44	217.52
Callawayia neoscapularis	221.44	217.52
Callawayia neoscapularis	224.31	221.44
Shastasaurus pacificus	232.82	231.25
Shastasaurus pacificus	232.82	231.25
Shastasaurus pacificus	232.82	231.25
Shastasaurus pacificus	232.82	231.25
Shastasaurus pacificus	232.82	231.25
Shastasaurus pacificus	232.82	231.25
Shastasaurus pacificus	233.6	232.82
Shastasaurus pacificus	233.6	232.82
Shastasaurus pacificus	233.6	232.82
Shastasaurus sikanniensis	216.58	215.33
Shonisaurus popularis	233.6	217.52
Shonisaurus popularis	231.25	228.45
Shonisaurus popularis	231.25	228.45
Shonisaurus popularis	231.25	228.45
Caypullisaurus bonapartei	147.72	145.73
Caypullisaurus bonapartei	147.72	145.73
Caypullisaurus bonapartei	145.73	139.39
Caypullisaurus bonapartei	147.72	145.73
Caypullisaurus bonapartei	147.72	145.73
Cetarthrosaurus walkeri	107.59	100.5
Cetarthrosaurus walkeri	107.59	100.5
Cartorhynchus lenticarpus	247.14	247.06
Sisteronia seeleyi	100.25	98.37
Sisteronia seeleyi	107.59	100.5
Sisteronia seeleyi	107.59	100.5
Sisteronia seeleyi	107.59	100.5
Sisteronia seeleyi	107.59	100.5
Sisteronia seeleyi	113.14	107.59
Sisteronia seeleyi	113.14	107.59
Sisteronia seeleyi	100.25	93.9
Ophthalmosaurus natans	163.97	159.49
Ophthalmosaurus natans	161.18	159.88
Ophthalmosaurus natans	163.97	159.49
Ophthalmosaurus natans	163.97	159.49
Ophthalmosaurus natans	163.97	159.49
Ophthalmosaurus natans	163.97	159.49
Ophthalmosaurus natans	163.97	159.49
Ophthalmosaurus natans	163.97	159.49
Ophthalmosaurus natans	163.97	159.49
Ophthalmosaurus natans	163.97	159.49
Ophthalmosaurus natans	163.97	159.49
Ophthalmosaurus natans	163.97	161.18
Undorosaurus gorodischensis	147.45	146.9
Undorosaurus gorodischensis	147.45	146.9
Undorosaurus gorodischensis	147.52	147.2
Undorosaurus gorodischensis	146.67	146.43
Undorosaurus gorodischensis	147.93	147.45
Undorosaurus kielanae	149.59	146.9
Undorosaurus nessovi	147.93	147.45
Undorosaurus nessovi	147.93	147.45
Undorosaurus trautscholdi	147.45	146.67
Chacaicosaurus cayi	170.3	169.45
Chaohusaurus brevifemoralis	247.14	247.06
Chaohusaurus brevifemoralis	247.14	247.06
Sclerocormus parviceps	247.14	247.06
Chaohusaurus brevifemoralis	247.14	247.06
Chaohusaurus geishanensis	247.14	247.06
Chaohusaurus geishanensis	247.14	247.06
Chaohusaurus geishanensis	247.14	247.06
Chaohusaurus chaoxianensis	247.14	247.06
Chaohusaurus chaoxianensis	247.14	247.06
Chaohusaurus chaoxianensis	247.14	247.06
Chaohusaurus chaoxianensis	247.14	247.06
Chaohusaurus chaoxianensis	247.14	247.06
Chaohusaurus zhangjiawanensis	247.79	246.9
Chaohusaurus zhangjiawanensis	247.79	246.9
Cymbospondylus petrinus	243.43	239.1
Cymbospondylus petrinus	243.43	239.1
Cymbospondylus duelferi	243.43	239.1
Cymbospondylus petrinus	243.43	239.1
Cymbospondylus petrinus	243.43	239.1
Cymbospondylus nichollsi	243.43	239.1
Cymbospondylus buchseri	242.03	241.5
Dearcmhara shawcrossi	174.43	169.45
Ichthyosaurus communis	196.54	195.59
Ichthyosaurus communis	196.54	195.59
Utatsusaurus hataii	247.14	247.06
Utatsusaurus hataii	247.39	246.8
Utatsusaurus hataii	247.14	247.06
Utatsusaurus hataii	247.14	247.06
Thaisaurus chonglakmanii	247.91	247.39
Grippia longirostris	247.04	246.8
Grippia longirostris	247.04	246.8
Grippia longirostris	247.04	246.8
Grippia longirostris	247.04	246.8
Grippia longirostris	247.04	246.8
Grippia longirostris	247.04	246.8
Grippia longirostris	247.04	246.8
Grippia longirostris	247.04	246.8
Grippia longirostris	247.04	246.8
Grippia longirostris	247.04	246.8
Grippia longirostris	247.04	246.8
Grippia longirostris	247.04	246.8
Grippia longirostris	247.04	246.8
Grippia longirostris	247.04	246.8
Grippia longirostris	247.04	246.8
Grippia longirostris	247.04	246.8
Pessopteryx nisseri	247.04	246.8
Pessopteryx nisseri	247.04	246.8
Pessopteryx nisseri	247.04	246.8
Pessopteryx nisseri	247.04	246.8
Pessopteryx nisseri	247.04	246.8
Grippia longirostris	247.04	246.8
Grippia longirostris	247.04	246.8
Quasianosteosaurus vikinghoegdai	247.04	246.8
Phalarodon callawayi	243.43	239.1
Phalarodon callawayi	243.43	239.1
Phalarodon callawayi	243.43	239.1
Phalarodon callawayi	239.1	235.59
Phalarodon callawayi	239.1	235.59
Phalarodon callawayi	239.1	235.59
Phalarodon callawayi	239.1	235.59
Phalarodon callawayi	239.1	235.59
Phalarodon callawayi	239.1	235.59
Phalarodon callawayi	239.1	235.59
Phalarodon callawayi	239.1	235.59
Phalarodon callawayi	239.1	235.59
Phalarodon callawayi	239.1	235.59
Phalarodon callawayi	247.39	239.1
Phalarodon fraasi	247.39	239.1
Phalarodon callawayi	247.39	239.1
Phalarodon callawayi	247.39	239.1
Phalarodon callawayi	247.39	239.1
Phalarodon callawayi	247.39	239.1
Phalarodon callawayi	247.39	239.1
Phalarodon callawayi	248.2	246.8
Phalarodon fraasi	243.43	239.1
Phalarodon fraasi	243.43	239.1
Phalarodon fraasi	239.1	237
Phalarodon fraasi	239.1	237
Phalarodon fraasi	239.1	237
Phalarodon fraasi	239.1	237
Phalarodon fraasi	239.1	237
Phalarodon fraasi	239.1	237
Phalarodon fraasi	239.1	237
Phalarodon fraasi	239.1	237
Phalarodon fraasi	244.34	243.43
Phalarodon fraasi	246.8	237
Phalarodon fraasi	246.8	237
Phalarodon major	244.34	243.43
Phalarodon major	244.34	243.43
Platypterygius hercynicus	122.98	113.14
Platypterygius hercynicus	103.94	103.13
Kyhytysuka sachicarum	130.77	113.14
Kyhytysuka sachicarum	127.47	126.3
Auroroborealia incognita	226.54	222.5
Auroroborealia incognita	226.54	222.5
Auroroborealia incognita	226.54	222.5
Auroroborealia incognita	226.54	222.5
Auroroborealia incognita	226.54	222.5
Auroroborealia incognita	226.54	222.5
Cymbospondylus youngorum	245.09	243.43
Thalattoarchon saurophagis	245.09	243.43
Platypterygius hauthali	139.39	130.77
Ichthyosaurus communis	199.4	191.36
Jabalisaurus meztli	154.73	152.06
Sumpalla argentina	150	145.73
