Species	Status
Acamptonectes_densus	extinct
Acuetzpalin_carranzai	extinct
Aegirosaurus_leptospondylus	extinct
Arthropterygius_chrisorum	extinct
Arthropterygius_hoybergeti	extinct
Arthropterygius_lundi	extinct
Arthropterygius_thalassonotus	extinct
Arthropterygius_volgensis	extinct
Athabascasaurus_bitumineus	extinct
Auroroborealia_incognita	extinct
Baisesaurus_robustus	extinct
Barracudasauroides_panxianensis	extinct
Besanosaurus_leptorhynchus	extinct
Brachypterygius_extremus	extinct
Brachypterygius_pseudoscythica	extinct
Californosaurus_perrini	extinct
Callawayia_neoscapularis	extinct
Cartorhynchus_lenticarpus	extinct
Catutosaurus_gaspariniae	extinct
Caypullisaurus_bonapartei	extinct
Cetarthrosaurus_walkeri	extinct
Chacaicosaurus_cayi	extinct
Chaohusaurus_brevifemoralis	extinct
Chaohusaurus_chaoxianensis	extinct
Chaohusaurus_geishanensis	extinct
Chaohusaurus_zhangjiawanensis	extinct
Contectopalatus_atavus	extinct
Cymbospondylus_buchseri	extinct
Cymbospondylus_duelferi	extinct
Cymbospondylus_nichollsi	extinct
Cymbospondylus_petrinus	extinct
Cymbospondylus_youngorum	extinct
Dearcmhara_shawcrossi	extinct
Eohupehsuchus_brevicollis	extinct
Eretmorhipis_carrolldongi	extinct
Eurhinosaurus_longirostris	extinct
Excalibosaurus_costini	extinct
Gengasaurus_nicosiae	extinct
Grendelius_alekseevi	extinct
Grendelius_zhuravlevi	extinct
Grippia_longirostris	extinct
Guizhouichthyosaurus_tangae	extinct
Guizhouichthyosaurus_wolonggangense	extinct
Gulosaurus_helmi	extinct
Hauffiopteryx_altera	extinct
Hauffiopteryx_typicus	extinct
Hudsonelpidia_brevirostris	extinct
Hupehsuchus_nanchangensis	extinct
Ichthyosaurus_acutirostris	extinct
Ichthyosaurus_anningae	extinct
Ichthyosaurus_breviceps	extinct
Ichthyosaurus_communis	extinct
Ichthyosaurus_conybeari	extinct
Ichthyosaurus_larkini	extinct
Ichthyosaurus_somersetensis	extinct
Isfjordosaurus_minor	extinct
Jabalisaurus_meztli	extinct
Kyhytysuka_sachicarum	extinct
Leninia_stellans	extinct
Leptonectes_moorei	extinct
Leptonectes_solei	extinct
Leptonectes_tenuirostris	extinct
Macgowania_janiceps	extinct
Maiaspondylus_cantabridgiensis	extinct
Maiaspondylus_lindoei	extinct
Malawania_anachronus	extinct
Mixosaurus_cornalianus	extinct
Mixosaurus_kuhnschneyderi	extinct
Mixosaurus_xindianensis	extinct
Mollesaurus_periallus	extinct
Muiscasaurus_catheti	extinct
Nanchangosaurus_suni	extinct
Nannopterygius_borealis	extinct
Nannopterygius_enthekiodon	extinct
Nannopterygius_saveljeviensis	extinct
Nannopterygius_yasykovi	extinct
Ophthalmosaurus_icenicus	extinct
Ophthalmosaurus_natans	extinct
Parahupehsuchus_longus	extinct
Parrassaurus_yacahuitztli	extinct
Parvinatator_wapitiensis	extinct
Pervushovisaurus_bannovkensis	extinct
Pervushovisaurus_campylodon	extinct
Pessopteryx_nisseri	extinct
Phalarodon_callawayi	extinct
Phalarodon_fraasi	extinct
Phalarodon_major	extinct
Phantomosaurus_neubigi	extinct
Platypterygius_americanus	extinct
Platypterygius_australis	extinct
Platypterygius_hauthali	extinct
Platypterygius_hercynicus	extinct
Protoichthyosaurus_applebyi	extinct
Protoichthyosaurus_prostaxalis	extinct
Qianichthyosaurus_xingyiensis	extinct
Qianichthyosaurus_zhoui	extinct
Quasianosteosaurus_vikinghoegdai	extinct
Sclerocormus_parviceps	extinct
Shastasaurus_liangae	extinct
Shastasaurus_pacificus	extinct
Shastasaurus_sikanniensis	extinct
Shonisaurus_popularis	extinct
Simbirskiasaurus_birjukovi	extinct
Sisteronia_seeleyi	extinct
Stenopterygius_aaleniensis	extinct
Stenopterygius_quadriscissus	extinct
Stenopterygius_triscissus	extinct
Stenopterygius_uniter	extinct
Suevoleviathan_disinteger	extinct
Suevoleviathan_integer	extinct
Sumpalla_argentina	extinct
Temnodontosaurus_azerguensis	extinct
Temnodontosaurus_crassimanus	extinct
Temnodontosaurus_eurycephalus	extinct
Temnodontosaurus_nuertingensis	extinct
Temnodontosaurus_platyodon	extinct
Temnodontosaurus_trigonodon	extinct
Temnodontosaurus_zetlandicus	extinct
Thaisaurus_chonglakmanii	extinct
Thalassodraco_etchesi	extinct
Thalattoarchon_saurophagis	extinct
Tholodus_schmidi	extinct
Toretocnemus_californicus	extinct
Toretocnemus_zitteli	extinct
Undorosaurus_gorodischensis	extinct
Undorosaurus_kielanae	extinct
Undorosaurus_nessovi	extinct
Undorosaurus_trautscholdi	extinct
Utatsusaurus_hataii	extinct
Wahlisaurus_massarae	extinct
Wimanius_odontopalatus	extinct
Xinminosaurus_catactes	extinct
