oid	accepted_name	accepted_rank	max_ma	min_ma	stratigraphy	lithostratigraphy	biostratigraphy	locality	country_code	references	specimen_no	pbdb_occurrences	gbif_occurrences	lat	lng	utm	paleo_lng	paleo_lat	higher_than	comments
31	Barracudasauroides panxianensis	species	244.34	244.14	Pelsonian	Falang Formation	Nicoraella kockeli Conodont Biozone	Panxian, Guizhou, China	CN	Motani2008JVP	NA	899756	NA	25.518888	104.905556	NA	NA	NA	NA	NA
32	Barracudasauroides panxianensis	species	244.34	244.14	Pelsonian	Falang Formation	Nicoraella kockeli Conodont Biozone	Panxian, Guizhou, China	CN	Motani2008JVP	NA	899759	NA	25.518888	104.905556	NA	NA	NA	NA	NA
33	Barracudasauroides panxianensis	species	244.34	244.14	Pelsonian	Falang Formation	Nicoraella kockeli Conodont Biozone	Panxian, Guizhou, China	CN	Motani2008JVP	NA	899762	NA	25.518888	104.905556	NA	NA	NA	NA	NA
34	Barracudasauroides panxianensis	species	244.34	244.14	Pelsonian	Falang Formation	Nicoraella kockeli Conodont Biozone	Panxian, Guizhou, China	CN	Motani2008JVP	NA	899764	NA	25.518888	104.905556	NA	NA	NA	NA	NA
35	Barracudasauroides panxianensis	species	244.34	244.14	Pelsonian	Falang Formation	Nicoraella kockeli Conodont Biozone	Panxian, Guizhou, China	CN	Motani2008JVP	NA	899766	NA	25.518888	104.905556	NA	NA	NA	NA	NA
36	Barracudasauroides panxianensis	species	244.34	244.14	Pelsonian	Falang Formation	Nicoraella kockeli Conodont Biozone	Panxian, Guizhou, China	CN	Motani2008JVP	NA	899768	NA	25.518888	104.905556	NA	NA	NA	NA	NA
37	Barracudasauroides panxianensis	species	244.34	244.14	Pelsonian	Falang Formation	Nicoraella kockeli Conodont Biozone	Panxian, Guizhou, China	CN	Motani2008JVP	NA	899770	NA	25.518888	104.905556	NA	NA	NA	NA	NA
38	Barracudasauroides panxianensis	species	244.34	244.14	Pelsonian	Falang Formation	Nicoraella kockeli Conodont Biozone	Panxian, Guizhou, China	CN	Motani2008JVP	NA	899772	NA	25.518888	104.905556	NA	NA	NA	NA	NA
41	Besanosaurus leptorhynchus	species	242.03	241.5	Illyrian	Besano Formation	Nevadites secedensis Ammonite Biozone	Besano, Lombardy, Italy	IT	DalSasso1996PL	BES SC 999	1134407	NA	45.150002	9.233333	NA	NA	NA	NA	layer 65/107 Bindellini et at 2021 Tbl 1
51	Californosaurus perrini	species	232.82	231.25	Lower Tuvalian	Hosselkus Limestone Formation	Tropites subbulatus Ammonite Biozone	Shasta County, California, USA	US	Merriam1908MUC	UCMP 9119	1134408	NA	40.820831	-122.190834	NA	NA	NA	NA	as Delphinosaurus; locality as from Mazin & Sander (1993)
52	Californosaurus perrini	species	232.82	231.25	Lower Tuvalian	Hosselkus Limestone Formation	Tropites subbulatus Ammonite Biozone	Shasta County, California, USA	US	Merriam1908MUC	UCMP 10998	1419476	NA	40.820831	-122.190834	NA	NA	NA	NA	locality as from Mazin & Sander (1993)
53	Californosaurus perrini	species	232.82	231.25	Lower Tuvalian	Hosselkus Limestone Formation	Tropites subbulatus Ammonite Biozone	Shasta County, California, USA	US	Merriam1908MUC	UCMP 9082	NA	NA	40.820831	-122.190834	NA	NA	NA	NA	locality as from Mazin & Sander (1993)
54	Californosaurus perrini	species	232.82	231.25	Lower Tuvalian	Hosselkus Limestone Formation	Tropites subbulatus Ammonite Biozone	Shasta County, California, USA	US	Merriam1908MUC	UCMP 9086	NA	NA	40.820831	-122.190834	NA	NA	NA	NA	locality as from Mazin & Sander (1993)
55	Callawayia neoscapularis	species	221.44	217.52	Lacian	Pardonet Formation	Epigondolella triangularis Conodont Biozone	Williston Lake, British Columbia, Canada	CA	McGowan1994JVPa	ROM 41993	820942	NA	56.07953	-122.689523	NA	NA	NA	NA	NA
56	Callawayia neoscapularis	species	221.44	217.52	Lacian	Pardonet Formation	Epigondolella triangularis Conodont Biozone	Chicken Creek, British Columbia, Canada	CA	Nicholls2001CJES	TMP 94.380.11	933497	NA	57.309258	-123.174812	NA	NA	NA	NA	locality from Fig. 1
57	Callawayia neoscapularis	species	224.31	221.44	Lacian	Pardonet Formation	Epigondolella quadrata Conodont Biozone	Chicken Creek, British Columbia, Canada	CA	Nicholls2001CJES	TMP 94.382.2	933503	NA	57.297343	-123.174812	NA	NA	NA	NA	locality from Fig. 1
58	Shastasaurus pacificus	species	232.82	231.25	Lower Tuvalian	Hosselkus Limestone Formation	Tropites subbulatus Ammonite Biozone	Shasta County, California, USA	US	Merriam1895AJS	NA	1419468	NA	40.820831	-122.190834	NA	NA	NA	NA	NA
59	Shastasaurus pacificus	species	232.82	231.25	Lower Tuvalian	Hosselkus Limestone Formation	Tropites subbulatus Ammonite Biozone	Shasta County, California, USA	US	Merriam1908MUC	UCMP 9076	NA	NA	40.820831	-122.190834	NA	NA	NA	NA	as Shastasaurus osmonti
60	Shastasaurus pacificus	species	232.82	231.25	Lower Tuvalian	Hosselkus Limestone Formation	Tropites subbulatus Ammonite Biozone	Shasta County, California, USA	US	Merriam1908MUC	UCMP 9608	NA	NA	40.820831	-122.190834	NA	NA	NA	NA	as Shastasaurus osmonti
61	Shastasaurus pacificus	species	232.82	231.25	Lower Tuvalian	Hosselkus Limestone Formation	Tropites subbulatus Ammonite Biozone	Shasta County, California, USA	US	Merriam1908MUC	UCMP 9081	1186494	NA	40.820831	-122.190834	NA	NA	NA	NA	as Shastasaurus osmonti
62	Shastasaurus pacificus	species	232.82	231.25	Lower Tuvalian	Hosselkus Limestone Formation	Tropites subbulatus Ammonite Biozone	Shasta County, California, USA	US	Merriam1908MUC	UCMP 9017	1186495	NA	40.405834	-122.551231	NA	NA	NA	NA	as Shastasaurus alexandrae; propsed neotype McGowan2003
63	Shastasaurus pacificus	species	232.82	231.25	Lower Tuvalian	Hosselkus Limestone Formation	Tropites subbulatus Ammonite Biozone	Shasta County, California, USA	US	Merriam1908MUC	UCMP 9083	1419470	NA	40.816376	-122.051582	NA	NA	NA	NA	as Shastasaurus altispinus
66	Shastasaurus pacificus	species	233.6	232.82	Lower Tuvalian	Antimonio Formation	Tropites dilleri Ammonite Biozone	El Antimonio District, Sonora, Mexico	MX	Callaway1989JP	UCMP 27141	909072	NA	30.75	-112.599998	NA	NA	NA	NA	as Shastasaurus careyi
66	Shastasaurus pacificus	species	233.6	232.82	Lower Tuvalian	Antimonio Formation	Tropites dilleri Ammonite Biozone	El Antimonio District, Sonora, Mexico	MX	Callaway1989JP	 UCMP 27142	909072	NA	30.75	-112.599998	NA	NA	NA	NA	as Shastasaurus careyi
66	Shastasaurus pacificus	species	233.6	232.82	Lower Tuvalian	Antimonio Formation	Tropites dilleri Ammonite Biozone	El Antimonio District, Sonora, Mexico	MX	Callaway1989JP	 UCMP 27146	909072	NA	30.75	-112.599998	NA	NA	NA	NA	as Shastasaurus careyi
68	Shastasaurus sikkaniensis	species	216.58	215.33	Alaunian	Pardonet Formation	Mockina postera Conodont Biozone	Chicken Creek, British Columbia, Canada	CA	Nicholls2004JVP	TMP 94.378.2	882304	NA	57.263611	-123.015282	NA	NA	NA	NA	NA
73	Shonisaurus popularis	species	233.6	217.52	Tuvalian–Lacian	NA	NA	NA	IT	DallaVecchia2002BSPI	NA	895626	NA	46.533333	12.133333	NA	NA	NA	NA	NA
74	Shonisaurus popularis	species	231.25	228.45	Upper Tuvalian	NA	Klamathites macrolobatus Ammonite Biozone	Berlin Ichthyosaur State Park, Nevada, USA	US	Camp1980PAPS	UNLV MNH FZVE-1	908629	NA	38.876667	-117.591393	NA	NA	NA	NA	NA
74	Shonisaurus popularis	species	231.25	228.45	Upper Tuvalian	NA	Klamathites macrolobatus Ammonite Biozone	Berlin Ichthyosaur State Park, Nevada, USA	US	Camp1980PAPS	 UNLV MNH FZVE-2	908629	NA	38.876667	-117.591393	NA	NA	NA	NA	NA
74	Shonisaurus popularis	species	231.25	228.45	Upper Tuvalian	NA	Klamathites macrolobatus Ammonite Biozone	Berlin Ichthyosaur State Park, Nevada, USA	US	Camp1980PAPS	 UNLV MNH FZVE-3	908629	NA	38.876667	-117.591393	NA	NA	NA	NA	NA
