Species	Status
Auroroborealia_incognita	extinct
Barracudasauroides_panxianensis	extinct
Callawayia_neoscapularis	extinct
Cartorhynchus_lenticarpus	extinct
Chaohusaurus_brevifemoralis	extinct
Chaohusaurus_chaoxianensis	extinct
Chaohusaurus_geishanensis	extinct
Chaohusaurus_zhangjiawanensis	extinct
Contectopalatus_atavus	extinct
Eretmorhipis_carrolldongi	extinct
Grippia_cf._longirostris	extinct
Grippia_longirostris	extinct
Guizhouichthyosaurus_tangae	extinct
Gulosaurus_helmi	extinct
Hudsonelpidia_brevirostris	extinct
Hupehsuchus_nanchangensis	extinct
Isfjordosaurus_minor	extinct
Macgowania_janiceps	extinct
Mixosaurus_xindianensis	extinct
Nanchangosaurus_suni	extinct
Parahupehsuchus_longus	extinct
Parvinatator_wapitiensis	extinct
Pessopteryx_nisseri	extinct
Phalarodon_callawayi	extinct
Phalarodon_fraasi	extinct
Quasianosteosaurus_vikinghoegdai	extinct
Sclerocormus_parviceps	extinct
Shastasaurus_sikkaniensis	extinct
Shonisaurus_popularis	extinct
Thaisaurus_chonglakmanii	extinct
Toretocnemus_californicus	extinct
Utatsusaurus_hataii	extinct
