parameter	speciation_rates	extinction_rates	sampling_rates
Iteration	0	0	0
Posterior	438.65588193731304	438.65588193731304	438.65588193731304
Likelihood	0	0	0
Prior	438.65588193731304	438.65588193731304	438.65588193731304
time.1.	695.0103130353843	858.7730903807181	3244.9604249037097
time.2.	573.9860538640838	854.6195961150281	3813.7271565263063
time.3.	748.1920662640416	788.2473724272686	2472.2295965239155
time.4.	717.0240854866777	864.65931371204465	2712.4727385726715
time.5.	654.879644367424	697.466870624267	2084.5204917951255
time.6.	752.0685764457482	845.632723979619	1778.8557201570743
time.7.	765.8966772681808	847.2003228173169	2994.9363245803074
time.8.	565.9798155493702	762.8064222959108	4369.318855185397
time.9.	746.343326268875	742.1328222059072	3712.236128721304
time.10.	876.7459879370746	798.6061946203471	4091.2356125121432
time.11.	591.4325168318991	796.7298307317757	3503.8210348920807
time.12.	745.69959461808	681.1106554492787	667.2874025252005
time.13.	764.4914312818192	666.3407890065392	2203.3929646433003
time.14.	624.2293123949132	711.1066505886295	1843.2374560563294
time.15.	651.4319061733602	614.82069237411	3751.000000000015
time.16.	812.1726320233554	2032.8797540125636	2618.429485437489
time.17.	1198.1950688190518	1292.3271908329589	2372.4038215963665
time.18.	678.0440025140857	854.5716387790981	3540.5401742375975
time.19.	628.8958536873834	1022.314382217842	782.6367846506098
time.20.	1312.836190551698	851.5091492498964	1247.5717481449237
time.21.	1583.9774922397603	2035.5912843736776	3420.74286513128
time.22.	684.8650272615881	2549.2654669411595	2813.5491106426184
time.23.	3155.4610706891945	2543.069987724362	2809.4273057475675
time.24.	393.65500230837193	657.5070508705065	1890.837352676468
time.25.	4.852158442871537	4.808254005252944	428.93352428274665
