parameter	speciation_rates	extinction_rates	sampling_rates
Iteration	21.782397492257	21.782397492257	21.782397492257
Posterior	5.32846095661348	5.32846095661348	5.32846095661348
Likelihood	0	0	0
Prior	5.32846095661348	5.32846095661348	5.32846095661348
time.1.	6856.776893829679	7013.310745373127	4618.845802771582
time.2.	7046.296551433696	7429.079162890853	17722.396308214764
time.3.	7035.719002596148	6964.395217875612	5374.850498192805
time.4.	6154.57066350277	6274.066400979492	1895.1490525671754
time.5.	6429.155577920926	7154.79692796383	2471.6640330036953
time.6.	6478.516037140453	6907.262605355994	1139.541890227473
time.7.	6814.407916517055	6585.980784429998	3581.2842592470465
time.8.	6504.1017280948945	6659.361649575741	9912.75813219105
time.9.	6912.661649396748	6994.957750443343	288.14221253678903
time.10.	6545.725091112498	7041.767946888644	772.1819660424139
time.11.	6934.363727997509	7484.7591670211605	13723.901860788592
time.12.	7079.755897841074	7325.773001235521	6725.429492381807
time.13.	6855.660757021846	6865.3044898012295	3282.94780847669
time.14.	6604.568837853084	7269.779391679841	3028.737786535774
time.15.	7029.873685075736	7183.988177013843	10755.612427795717
time.16.	7552.049427766128	18292.581784831567	2849.0377753392845
time.17.	10614.351130011273	7647.179786806929	3063.0736279374173
time.18.	6947.442401519291	6221.452343423774	3554.8393375447004
time.19.	5256.1136462457225	10280.151747304304	7579.412276407302
time.20.	11390.945693628822	7770.2013623403	10332.782146392432
time.21.	1839.1011387884532	4180.6955582326145	83.35627436706106
time.22.	5550.170898316988	8993.935305183753	268.49060355218234
time.23.	18.643892366203946	397.61676546665734	22.369673780600905
time.24.	550.6011004264956	2.8817069508155813	4.388038385512063
time.25.	10.95806858855428	5.985132258647651	19960.501771918276
