taxon	min	max
Acamptonectes_densus	132.85	134.71
Acuetzpalin_carranzai	152.06	157.25
Aegirosaurus_leptospondylus	150.94	152.06
Arthropterygius_chrisorum	143.57	161.18
Arthropterygius_hoybergeti	147.52	149.59
Arthropterygius_lundi	147.52	149.59
Arthropterygius_thalassonotus	145.73	147.72
Arthropterygius_volgensis	147.53	149.59
Athabascasaurus_bitumineus	110.22	113.14
Auroroborealia_incognita	222.5	226.54
Baisesaurus_robustus	246.9	247.79
Barracudasauroides_panxianensis	244.14	244.34
Besanosaurus_leptorhynchus	241.5	242.03
Brachypterygius_extremus	150.66	157.25
Brachypterygius_pseudoscythica	149.59	150.19
Californosaurus_perrini	231.25	232.82
Callawayia_neoscapularis	217.52	224.31
Cartorhynchus_lenticarpus	247.06	247.14
Catutosaurus_gaspariniae	139.39	150
Caypullisaurus_bonapartei	139.39	147.72
Cetarthrosaurus_walkeri	100.5	107.59
Chacaicosaurus_cayi	169.45	170.3
Chaohusaurus_brevifemoralis	247.06	247.14
Chaohusaurus_chaoxianensis	247.06	247.14
Chaohusaurus_geishanensis	247.06	247.14
Chaohusaurus_zhangjiawanensis	246.9	247.79
Contectopalatus_atavus	241.5	244.34
Cymbospondylus_buchseri	241.5	242.03
Cymbospondylus_duelferi	239.1	243.43
Cymbospondylus_nichollsi	239.1	243.43
Cymbospondylus_petrinus	239.1	243.43
Cymbospondylus_youngorum	243.43	245.09
Dearcmhara_shawcrossi	169.45	174.43
Eohupehsuchus_brevicollis	246.8	247.39
Eretmorhipis_carrolldongi	246.8	247.39
Eurhinosaurus_longirostris	178.24	183.7
Excalibosaurus_costini	197.95	199.36
Gengasaurus_nicosiae	150.94	153.55
Grendelius_alekseevi	147.53	149.59
Grendelius_zhuravlevi	147.53	149.59
Grippia_longirostris	246.8	248.2
Guizhouichthyosaurus_tangae	233.6	244.34
Guizhouichthyosaurus_wolonggangense	233.6	235.59
Gulosaurus_helmi	246.8	248.2
Hauffiopteryx_altera	182.05	182.9
Hauffiopteryx_typicus	174.97	188.29
Himalayasaurus_tibetensis	209.56	228.45
Hudsonelpidia_brevirostris	221.44	224.31
Hupehsuchus_nanchangensis	246.8	247.39
Ichthyosaurus_acutirostris	180.36	183.7
Ichthyosaurus_anningae	183.7	200.16
Ichthyosaurus_breviceps	183.7	201.36
Ichthyosaurus_communis	191.36	200.16
