parameter	speciation_rates	extinction_rates	sampling_rates
Iteration	0	0	0
Posterior	354.54015316837103	354.54015316837103	354.54015316837103
Likelihood	0	0	0
Prior	354.54015316837103	354.54015316837103	354.54015316837103
time.1.	685.5426363694173	788.8376509188603	2115.359616008758
time.2.	766.8323147590244	659.9686919397084	2413.1391250876327
time.3.	739.6176040561827	748.3426519540393	3074.721012711741
time.4.	642.6960795526306	815.0576681752916	3675.7404139727346
time.5.	674.937914774657	689.5930978301373	2373.8048927794584
time.6.	770.7407128256734	679.6987945248527	2997.817217327117
time.7.	776.9291625448336	816.8455924719805	2206.8010069285788
time.8.	784.1471224539854	646.9892694009409	1909.068160320476
time.9.	763.7294509199107	827.6260099604208	1994.9354213261113
time.10.	806.9155481850919	882.2501729072181	2514.050689379727
time.11.	767.3938515202765	726.4708907111326	1847.7646944630974
time.12.	840.4954568034761	714.5759725492547	1325.4417033079665
time.13.	786.1385275353891	757.5536037229483	2315.8461019690308
time.14.	793.1733819278408	793.7361610735725	1359.1883347888001
time.15.	732.102298754763	837.5940511062371	2397.9166405428173
time.16.	711.1912761504631	864.491180273051	2042.6884350074845
time.17.	678.0264272525817	713.3962836360831	2738.147458596653
time.18.	762.0203154301753	634.1960090303031	3501.1318478054563
time.19.	775.1115835542822	721.8891784624393	3526.3242471037775
time.20.	763.0615831927885	705.7688901393523	3448.197539294372
time.21.	652.8528820933868	661.674018113542	2648.040080436419
time.22.	883.7796177307941	573.4053117593271	2634.2264003212244
time.23.	822.1989764425654	621.4309339617965	3435.815316683903
time.24.	741.6962111033006	823.7960641075218	3537.1235984169984
time.25.	809.4987616428982	669.4654444337172	3448.3361963527555
time.26.	843.1712240489237	651.2052372290821	3751.0000000000023
time.27.	745.3321507060224	639.9691642562212	3750.9999999999895
time.28.	841.4908588684771	844.8793800435872	891.0980107345914
time.29.	768.829661288828	727.8388030810152	675.711274272222
time.30.	798.8766523298351	673.4413335287041	685.0195945870564
time.31.	702.6984446385891	644.7215023118086	780.2553082966499
time.32.	721.7225957069401	665.4303499889819	2052.533176578964
time.33.	647.7538052870594	727.1246743239043	887.773402251527
time.34.	644.3913766068432	689.7699402435487	1305.161209285854
time.35.	783.1468487483411	689.910620642713	1297.675828686195
time.36.	728.246876187774	758.7254415519935	2206.1161039779413
time.37.	678.2557888007308	869.5269407862827	3463.656848217445
time.38.	659.5675025614685	1911.2686207020092	1833.4042504173337
time.39.	783.2846278695436	589.5970798064324	2062.851370865528
time.40.	898.8242460812851	612.4656257254518	2394.6092154214316
time.41.	965.3812271899786	668.8541487877965	3750.9999999999845
time.42.	736.8392257043226	785.778796876026	3577.2304182299276
time.43.	597.3583715131745	1040.9247962862135	751.9002302660012
time.44.	569.716407383801	680.798509020253	1096.6828018376304
time.45.	449.1280834435226	522.8065449149756	1282.7752969908574
time.46.	1252.6512614865003	467.5021684090019	1748.623300651952
time.47.	903.0562421213432	821.0397836580005	1720.9926087226543
time.48.	272.3636352285312	303.215708870079	1591.7976905390826
time.49.	185.61077972405323	169.138522834222	939.4930450400839
time.50.	136.8677595391192	204.4202024779808	1043.751451294156
time.51.	185.0579981887562	724.04357634946	1090.8665110050765
time.52.	741.946113606464	175.4511260039281	1377.4717914222742
time.53.	217.82240510646798	126.10367293150989	1318.5197267248095
time.54.	182.03952382821427	136.01283578269278	926.9315881876806
time.55.	130.57050755488063	177.52636602828923	865.7072635602306
time.56.	201.74560694408808	108.60811155941813	1466.7051273394711
time.57.	36.89026334051259	1.8273231586910557	0
time.58.	1.4160697819357697	1.5429859995878419	0
time.59.	5.509050599469217	2.497420841774612	0
