parameter	speciation_rates	extinction_rates	sampling_rates
Iteration	21.782397492257	21.782397492257	21.782397492257
Posterior	128.90497751856915	128.90497751856915	128.90497751856915
Likelihood	0	0	0
Prior	128.90497751856915	128.90497751856915	128.90497751856915
time.1.	7090.778338754918	6460.334680814248	1475.5365908718964
time.2.	7072.099150570871	7278.299982844802	821.489024719808
time.3.	7324.892438026324	6896.506077012127	723.5543739158683
time.4.	6720.436431279278	7322.722049830058	18705.53764624429
time.5.	7196.386090921616	6994.37895979864	1177.5269249239523
time.6.	6820.878368282035	6815.83177612014	1584.8749241743926
time.7.	6600.629167028688	7183.750061647953	4076.799458605709
time.8.	6250.903435733958	6652.3136372793915	3242.2037853096726
time.9.	6052.023162651766	7567.900285709887	2404.720652828636
time.10.	6948.146983944459	6887.157971473686	7786.392857457118
time.11.	6908.335590878706	6927.912563533918	1926.5107669043045
time.12.	7096.014767478594	7235.571417781397	14990.553278987838
time.13.	6836.267345139176	7088.504997070038	2550.2231477805226
time.14.	6584.196327370839	6316.102258340628	1399.1787322859934
time.15.	6185.353928123217	6723.649774008395	1193.1604269568604
time.16.	7152.052844260656	6925.66056119314	593.1763040255435
time.17.	6969.466074785627	6561.191733519353	4927.6764753224925
time.18.	6322.508627969045	6952.801779148025	4306.622450627531
time.19.	6950.480205984061	7204.145526415844	754.4178603275391
time.20.	7211.98615257035	7321.504014724145	88.36026040054416
time.21.	6689.866387080953	7236.4917583082	117.48882892216962
time.22.	7011.172742132724	7242.8864165544965	442.0265718014478
time.23.	6637.257445525082	6703.502210371784	250.66593768327218
time.24.	6822.071613743703	7246.317178245437	140.80393099519088
time.25.	6831.53910855185	6757.6698651131965	70.34410373631809
time.26.	7433.356966955434	6437.46140076319	230.54958417805153
time.27.	6780.568445408607	7088.42414171651	145.46867375875462
time.28.	7306.516562048734	6535.970378982578	7258.775947127594
time.29.	7109.467748464906	7122.158291242587	7222.8957113596
time.30.	6724.61166899808	7038.398364265333	6932.286793171732
time.31.	7406.544780724143	7005.863142307423	7221.43685982488
time.32.	6859.135847339749	6732.032045896556	3238.8826664384046
time.33.	6904.941150185604	6691.133779675418	2186.9647214870865
time.34.	6878.479281590689	7787.846823451166	1590.5802255728229
time.35.	7133.947822880485	6775.1883817511325	2663.979295972357
time.36.	6308.468037700373	7062.553765224255	11743.306030180414
time.37.	6619.907346462821	6838.839634539696	11106.885720844773
time.38.	6585.875848758529	16690.179761664087	1100.2516871096607
time.39.	6585.0236571125115	5695.445194824396	3667.8169549607946
time.40.	8074.374576578923	4771.5053890631425	1018.6210161364384
time.41.	6658.346655267955	6239.139844145796	3601.7325401009034
time.42.	5801.582235742809	6983.683964691189	9159.527531020683
time.43.	5347.3893672231725	11518.979960097555	6995.459546617719
time.44.	3068.3140172882527	6239.893002410212	2653.5079993914915
time.45.	5286.459064456265	5705.752278300254	1669.0277726475522
time.46.	2254.7806741435566	3075.0795524574696	1449.6956020947705
time.47.	2636.116116547264	2697.945719882223	135.9404538585665
time.48.	4395.265390176412	6557.091235472554	346.8399788441256
time.49.	5847.168918789211	4832.351886357274	59.32330674003858
time.50.	3503.137415664267	2117.286839000717	163.75603705486853
time.51.	3092.1177045699797	1459.8414493451535	74.41669911114855
time.52.	121.67972045273638	5408.453398501563	160.67999952307733
time.53.	520.3444748728983	3370.5600495490417	330.4266969594836
time.54.	1798.643357527317	3061.080473500995	390.2616949868057
time.55.	424.3812189368712	2568.355623150992	156.06729359423701
time.56.	3610.8502048942337	4665.600336016682	14.201609334346172
time.57.	768.3544336637431	15.941878686987897	7778.763698607083
time.58.	211.43965961204023	12.758010242695777	10403.100118810009
time.59.	9.107725001099139	11.991157051153818	17666.359106309068
